PUCID_productype,NO2017,HUP,IUP,Seasonality,M,F,W,B,A,N,P,O,age0_5,age6_12,age13_15,age16_18,age19_49,age50plus,kownrent,sewdis,dishwash,stoven,cars,pcprint,swim,yard,Hot_Warm,Cool,Cold,personal_communal
PC.2300.070,,0,1,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,,,,,,,,,,,,Personal
PC.1600.010,,0,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,,,,,,,,,,,,Personal
PC.1800.010,,0,1,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,,,,,,,,,,,,Personal
PC.1900.010,,0,1,0,0,1,1,1,1,1,1,1,0,0,0,1,1,1,,,,,,,,,,,,Personal
PC.1900.020,,0,1,0,0,1,1,1,1,1,1,1,0,0,0,1,1,1,,,,,,,,,,,,Personal
PC.1900.030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Personal
PC.1900.040,,0,1,0,0,1,1,1,1,1,1,1,0,0,0,1,1,1,,,,,,,,,,,,Personal
PC.1900.050,,0,1,0,0,1,1,1,1,1,1,1,0,0,0,1,1,1,,,,,,,,,,,,Personal
PC.1900.060,,0,1,0,0,1,1,1,1,1,1,1,0,0,0,1,1,1,,,,,,,,,,,,Personal
PC.1900.070,,0,1,0,0,1,1,1,1,1,1,1,0,0,0,1,1,1,,,,,,,,,,,,Personal
PC.1900.080,,0,1,0,0,1,1,1,1,1,1,1,0,0,0,1,1,1,,,,,,,,,,,,Personal
PC.2000.090,,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,,,,,,,,,,,,Personal
PC.2000.100,,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,,,,,,,,,,,,Personal
PC.2000.110,,0,1,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,,,,,,,,,,,,Personal
PC.2000.120,,0,1,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,,,,,,,,,,,,Personal
PC.2000.130,,0,1,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,,,,,,,,,,,,Personal
PC.2000.140,,0,1,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,,,,,,,,,,,,Personal
PC.2000.150,,0,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,,,,,,,,,,,,Personal
PC.2000.160,,0,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,,,,,,,,,,,,Personal
PC.2000.170,,0,1,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,,,,,,,,,,,,Personal
PC.0500.050,,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,Personal
PC.0500.060,,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,Personal
PC.0500.070,,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,Personal
PC.1700.010,,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,,,,,,,,,,,,Personal
PC.2000.180,,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,Personal
PC.2200.010,,0,1,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,,,,,,,,,,,,Personal
PC.2300.080,,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,,,,,,,,,,,,Personal
PC.2300.090,,0,1,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,,,,,,,,,,,,Personal
PC.2300.100,,0,1,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,,,,,,,,,,,,Personal
PC.2300.110,,0,1,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,,,,,,,,,,,,Personal
PC.2300.120,,0,1,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,,,,,,,,,,,,Personal
PC.2300.130,,0,1,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,,,,,,,,,,,,Personal
PC.2300.140,,0,1,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,,,,,,,,,,,,Personal
PC.2300.150,,0,1,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,,,,,,,,,,,,Personal
PC.0900.050,,0,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,,,,,,,,,,,,Personal
PC.2400.010,,0,1,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,,,,,,,,,,,,Personal
PC.2400.020,,0,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,,,,,,,,,,,,Personal
PC.2400.030,,0,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,,,,,,,,,,,,Personal
PC.2400.040,,0,1,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,,,,,,,,,,,,Personal
PC.2000.190,,0,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,,,,,,,,,,,,Personal
PC.2500.010,,0,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,,,,,,,,,,,,Personal
PC.2600.010,,0,1,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,,,,,,,,,,,,Personal
PC.2000.200,,0,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,,,,,,,,,,,,Personal
PC.2000.210,,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,,,,,,,,,,,,Personal
PC.2700.070,,0,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,,,,,,,,,,,,Personal
PC.2900.010,,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,,,,,,,,,,,,Personal
PC.0900.060,,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,1,1,,,,,,,,,,,,Personal
PC.2300.160,,0,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,,,,,,,,,,,,Personal
PC.0900.070,,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,Personal
PC.2700.080,,0,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,,,,,,,,,,,,Personal
PE.0100.010,,1,0,1,,,,,,,,,,,,,,,0,1,1,1,1,1,1,0,1,1,0,Communal
PE.0200.010,,1,0,1,,,,,,,,,,,,,,,0,1,1,1,1,1,1,0,1,1,0,Communal
PE.0300.010,,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,,,,,,,,,1,0,0,Personal
PE.0300.020,,1,0,1,,,,,,,,,,,,,,,0,1,1,1,1,1,1,0,1,0,0,Communal
PE.0300.030,,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,,,,,,,,,1,0,0,Personal
PE.0400.010,,1,0,1,,,,,,,,,,,,,,,0,1,1,1,1,1,1,1,1,0,0,Communal
PE.0400.020,,1,0,1,,,,,,,,,,,,,,,0,1,1,1,1,1,1,0,1,0,0,Communal
PE.0400.030,,1,0,1,,,,,,,,,,,,,,,0,1,1,1,1,1,1,1,1,1,1,Communal
PE.0500.010,,1,0,1,,,,,,,,,,,,,,,0,1,1,1,1,1,1,1,1,1,0,Communal
PT.0400.010,,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,,,,,,,,,,,,Communal
PT.0200.010,,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,,,,,,,,,,,,Communal
PT.0100.060,,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,,,,,,,,,,,,Communal
PT.0100.070,,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,,,,,,,,,1,1,0,Communal
PT.0100.080,,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,,,,,,,,,,,,Communal
PT.0100.090,,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,,,,,,,,,,,,Communal
